country_iso3,country_name,protconn_pa,protconn_pa_oecm,
CCK,Cocos (Keeling) Islands,15.60,15.60,
CHE,Switzerland,4.46,4.46,
CHL,Chile,14.32,14.32,
CHN,China,0.54,0.54,
CHN|IND,China|India,,,
CHN|JPN,China|Japan,,,
CHN|VNM,China|Viet Nam,,,
CIV,C̫te d'Ivoire,7.23,7.23,
CMR,Cameroon,3.45,3.45,
COD,Congo (Democratic Republic of the),4.41,4.41,
COG,Congo,27.98,27.98,
COK,Cook Islands,0.52,0.52,
COL,Colombia,5.22,5.22,
COL|DOM,Colombia|Dominican Republic,,,
COL|JAM,Colombia|Jamaica,,,
COM,Comoros,32.50,32.50,
CPV,Cabo Verde,2.98,2.98,
CRI,Costa Rica,17.93,17.93,
CRI|ECU,Costa Rica|Ecuador,,,
CUB,Cuba,7.33,7.33,
CUW,Cura̤ao,13.58,13.58,
CXR,Christmas Island,60.86,60.86,
CYM,Cayman Islands,5.45,5.45,
CYP,Cyprus,36.52,36.52,
CZE,Czechia,11.64,11.64,
DEU,Germany,35.09,35.09,
DJI,Djibouti,1.33,1.33,
DJI|ERI,Djibouti|Eritrea,,,
DMA,Dominica,19.46,19.46,
DNK,Denmark,6.92,6.92,
DOM,Dominican Republic,17.27,17.27,
DOM|PRI,Dominican Republic|Puerto Rico,,,
DZA,Algeria,3.30,49.43,
ECU,Ecuador,13.05,13.05,
ECU|COL,Ecuador|Colombia,,,
EGY,Egypt,7.27,7.27,
EGY|SDN,Egypt|Sudan,,,
ERI,Eritrea,3.19,3.19,
ESH,Western Sahara,0.12,0.12,
ESH|MAR,Western Sahara|Morocco,,,
ESP,Spain,18.44,18.44,
ESP|FRA,Spain|France,,,
ESP|MAR,Spain|Morocco,,,
EST,Estonia,9.50,9.51,
ETH,Ethiopia,7.80,7.80,
FIN,Finland,6.85,6.85,
FJI,Fiji,3.04,3.04,
FLK,Falkland Islands (Malvinas),0.33,0.33,
FRA,France,19.58,19.58,
FRA|MDG,France|Madagascar,,,
FRO,Faroe Islands,1.82,1.82,
FRO|GBR,Faroe Islands|United Kingdom of Great Britain and Northern Ireland,,,
FRO|ISL,Faroe Islands|Iceland,,,
FSM,Micronesia (Federated States of),0.68,0.68,
GAB,Gabon,9.95,9.95,
GBR,United Kingdom of Great Britain and Northern Ireland,13.95,13.95,
GEO,Georgia,4.57,4.57,
GGY,Guernsey,1.60,6.79,
GHA,Ghana,5.03,5.03,
GIB,Gibraltar,,,
GIB|ESP,Gibraltar|Spain,,,
GIN,Guinea,25.18,25.18,
GLP,Guadeloupe,69.03,69.03,
GMB,Gambia,6.96,6.96,
GNB,Guinea-Bissau,22.50,22.50,
GNQ,Equatorial Guinea,13.66,13.66,
GRC,Greece,19.85,19.85,
GRD,Grenada,8.49,8.49,
GRL,Greenland,41.20,41.20,
GTM,Guatemala,10.61,10.61,
GUF,French Guiana,48.00,48.00,
GUM,Guam,1.16,1.16,
GUY,Guyana,4.54,4.54,
GUY|BRB,Guyana|Barbados,,,
HKG,Hong Kong,35.15,35.15,
HMD,Heard Island and McDonald Islands,100.00,100.00,
HND,Honduras,14.11,14.11,
HND|CYM,Honduras|Cayman Islands,,,
HRV,Croatia,34.72,34.72,
HTI,Haiti,3.05,3.05,
HUN,Hungary,14.41,14.41,
IDN,Indonesia,8.63,8.63,
IMN,Isle of Man,2.59,2.59,
IND,India,1.17,1.17,
IND|PAK,India|Pakistan,,,
IOT,British Indian Ocean Territory,78.33,78.33,
IOT|MUS,British Indian Ocean Territory|Mauritius,,,
IRL,Ireland,8.60,8.60,
IRN,Iran (Islamic Republic of),2.12,2.12,
IRN|ARE,Iran (Islamic Republic of)|United Arab Emirates,,,
IRQ,Iraq,1.09,1.09,
ISL,Iceland,16.88,16.88,
ISL|SJM,Iceland|Svalbard and Jan Mayen,,,
ISR,Israel,18.27,18.27,
ITA,Italy,8.95,8.95,
ITA|FRA,Italy|France,,,
JAM,Jamaica,10.05,10.05,
JEY,Jersey,14.85,14.85,
JOR,Jordan,2.08,2.08,
JPN,Japan,14.81,14.81,
JPN|KOR,Japan|Korea (Republic of),,,
JPN|RUS,Japan|Russian Federation,,,
JPN|TWN,"Japan|Taiwan, Province of China",,,
KAZ,Kazakhstan,3.85,3.85,
KEN,Kenya,5.42,5.42,
KEN|SDN,Kenya|Sudan,,,
KEN|SOM,Kenya|Somalia,,,
KGZ,Kyrgyzstan,3.53,3.53,
KHM,Cambodia,28.54,28.54,
KIR,Kiribati,22.59,22.59,
KNA,Saint Kitts and Nevis,15.74,15.74,
KOR,Korea (Republic of),9.00,9.00,
KWT,Kuwait,12.91,12.91,
LAO,Lao People's Democratic Republic,6.93,6.93,
LBN,Lebanon,1.77,1.77,
LBR,Liberia,2.31,2.31,
LBY,Libya,0.11,0.11,
LCA,Saint Lucia,17.39,17.39,
LIE,Liechtenstein,42.71,42.71,
LKA,Sri Lanka,24.88,24.88,
LSO,Lesotho,0.33,0.33,
LTU,Lithuania,10.18,10.18,
LUX,Luxembourg,47.47,47.47,
LVA,Latvia,10.30,10.30,
MAC,Macao,,,
MAF,Saint Martin (French part),,,
MAR,Morocco,1.05,1.05,
MCO,Monaco,,,
MDA,Moldova (Republic of),2.06,2.06,
MDG,Madagascar,1.94,1.94,
MDV,Maldives,0.47,0.47,
MEX,Mexico,3.58,3.58,
MHL,Marshall Islands,12.08,12.08,
MKD,North Macedonia,6.67,6.67,
MLI,Mali,4.61,4.61,
MLT,Malta,24.90,24.90,
MMR,Myanmar,4.33,4.33,
MNE,Montenegro,8.04,8.04,
MNG,Mongolia,6.13,6.13,
MNP,Northern Mariana Islands,7.10,7.10,
MOZ,Mozambique,12.61,12.61,
MRT,Mauritania,0.53,0.53,
MSR,Montserrat,10.93,10.93,
MTQ,Martinique,62.46,62.46,
MUS,Mauritius,3.40,3.40,
MWI,Malawi,10.87,10.87,
MYS,Malaysia,8.12,8.12,
MYT,Mayotte,4.54,4.56,
MYT|COM,Mayotte|Comoros,,,
NAM,Namibia,27.39,27.39,
NCL,New Caledonia,56.06,56.06,
NCL|VUT,New Caledonia|Vanuatu,,,
NER,Niger,14.88,14.88,
NFK,Norfolk Island,16.93,16.93,
NGA,Nigeria,2.45,2.45,
NGA|STP,Nigeria|Sao Tome and Principe,,,
NIC,Nicaragua,9.57,9.57,
NIU,Niue,22.04,22.04,
NLD,Netherlands,16.78,16.78,
NOR,Norway,6.40,6.40,
NPL,Nepal,10.89,10.89,
NRU,Nauru,,,
NZL,New Zealand,28.70,28.71,
OMN,Oman,1.70,1.70,
PAK,Pakistan,4.61,4.61,
PAN,Panama,16.46,16.46,
PCN,Pitcairn,58.08,58.08,
PER,Peru,8.31,8.31,
PER|ECU,Peru|Ecuador,,,
PHL,Philippines,12.35,12.35,
PLW,Palau,17.53,17.53,
PNG,Papua New Guinea,1.86,1.86,
POL,Poland,37.50,37.50,
PRI,Puerto Rico,3.70,3.70,
PRK,Korea (Democratic People's Republic of),1.23,1.23,
PRT,Portugal,12.14,12.14,
PRY,Paraguay,11.48,11.48,
PSE,"Palestine, State of",4.89,4.89,
PSE|ISR,"Palestine, State of|Israel",,,
PYF,French Polynesia,1.67,1.67,
QAT,Qatar,12.24,12.24,
REU,R̩union,63.17,63.17,
REU|MUS,R̩union|Mauritius,,,
ROU,Romania,15.89,15.89,
RUS,Russian Federation,1.94,1.94,
RWA,Rwanda,5.71,5.71,
SAU,Saudi Arabia,1.74,1.74,
SDN,Sudan,1.17,1.17,
SDN|EGY,Sudan|Egypt,,,
SEN,Senegal,14.80,14.80,
SEN|GNB,Senegal|Guinea-Bissau,,,
SGP,Singapore,5.46,5.46,
SGS,South Georgia and the South Sandwich Islands,5.75,5.75,
SHN,"Saint Helena, Ascension and Tristan da Cunha",24.34,24.34,
SJM,Svalbard and Jan Mayen,47.39,47.39,
SLB,Solomon Islands,1.52,1.52,
SLE,Sierra Leone,4.19,4.19,
SLV,El Salvador,5.23,5.23,
SMR,San Marino,,,
SOM,Somalia,,,
SPM,Saint Pierre and Miquelon,5.52,5.52,
SRB,Serbia,2.82,2.82,
SSD,South Sudan,6.61,6.61,
SSD|SDN,South Sudan|Sudan,,,
STP,Sao Tome and Principe,31.20,31.20,
SUR,Suriname,11.27,11.27,
SVK,Slovakia,28.11,28.11,
SVN,Slovenia,37.07,37.07,
SWE,Sweden,8.43,8.43,
SWE|NOR,Sweden|Norway,,,
SWZ,Eswatini,2.68,2.68,
SXM,Sint Maarten (Dutch part),,,
SYC,Seychelles,60.18,60.18,
SYR,Syrian Arab Republic,0.38,0.38,
TCA,Turks and Caicos Islands,24.11,24.11,
TCD,Chad,10.60,10.60,
TGO,Togo,15.37,15.37,
THA,Thailand,6.10,6.10,
TJK,Tajikistan,19.49,19.49,
TKL,Tokelau,,,
TKM,Turkmenistan,1.61,1.61,
TLS,Timor-Leste,9.39,9.39,
TON,Tonga,10.33,10.33,
TTO,Trinidad and Tobago,25.87,25.87,
TTO|VEN|GUY,Trinidad and Tobago|Venezuela (Bolivarian Republic of)|Guyana,,,
TUN,Tunisia,4.04,4.04,
TUR,Turkey,0.07,0.07,
TUV,Tuvalu,36.84,36.84,
TWN,"Taiwan, Province of China",18.53,18.53,
TZA,"Tanzania, United Republic of",21.21,21.21,
UGA,Uganda,6.43,6.43,
UKR,Ukraine,0.98,0.98,
UMI,United States Minor Outlying Islands,93.73,93.73,
URY,Uruguay,2.52,2.52,
USA,United States of America,5.75,5.75,
USA|HTI|JAM,United States of America|Haiti|Jamaica,,,
USA|RUS,United States of America|Russian Federation,,,
UZB,Uzbekistan,2.45,2.45,
VAT,Holy See,,,
VCT,Saint Vincent and the Grenadines,19.54,19.54,
VEN,Venezuela (Bolivarian Republic of),34.69,34.69,
VEN|ABW|DOM,Venezuela (Bolivarian Republic of)|Aruba|Dominican Republic,,,
VEN|COL|DOM,Venezuela (Bolivarian Republic of)|Colombia|Dominican Republic,,,
VGB,Virgin Islands (British),7.89,7.89,
VIR,Virgin Islands (U.S.),10.80,10.80,
VNM,Viet Nam,1.66,1.66,
VUT,Vanuatu,3.72,3.72,
WLF,Wallis and Futuna,,,
WSM,Samoa,5.49,5.49,
YEM,Yemen,0.76,0.76,
ZAF,South Africa,2.51,2.51,
ZMB,Zambia,19.40,19.40,
ZWE,Zimbabwe,19.66,19.66,
