ISO3,PER_PAME,GROUP
ARG,23.20928854,10-30%
ASM,0,No Assessments
BOL,46.19280326,30-60%
CHL,7.332736748,Under 10%
COK,0,No Assessments
FLK,0,No Assessments
NIU,0,No Assessments
PCN,0.004917422,Under 10%
PER,66.68128841,Over 60%
PRY,37.46383433,30-60%
PYF,5.552187199,Under 10%
SGS,0,No Assessments
SHN,0,No Assessments
TKL,0,No Assessments
TON,0.492702039,Under 10%
URY,33.86790714,30-60%
WLF,0,No Assessments
WSM,0,No Assessments
AGO,37.03861735,30-60%
AUS,15.1321992,10-30%
BDI,68.84278815,Over 60%
BVT,0,No Assessments
BWA,66.10880981,Over 60%
CCK,0,No Assessments
COM,0,No Assessments
CXR,0,No Assessments
HMD,9.092671983,Under 10%
IOT,0,No Assessments
LSO,133.3419772,Over 60%
MDG,71.29209179,Over 60%
MOZ,33.86619145,30-60%
MUS,45.59707342,30-60%
MWI,53.38792679,30-60%
MYT,0,No Assessments
NAM,40.17127885,30-60%
NCL,0,No Assessments
NFK,0.001019341,Under 10%
NRU,,No Assessments
PNG,95.01368862,Over 60%
REU,64.91408291,Over 60%
RWA,95.53181676,Over 60%
SLB,32.53439977,30-60%
SWZ,0,No Assessments
SYC,86.88739761,Over 60%
TLS,0,No Assessments
TUV,0,No Assessments
TZA,33.30221351,30-60%
VUT,5.354516353,Under 10%
ZAF,22.86157604,10-30%
ZMB,36.85702461,30-60%
ZWE,22.7903737,10-30%
ATF/MDG,0,No Assessments
ATF/MUS/MDG,0,No Assessments
ATF,0,No Assessments
ATF,0,No Assessments
ABW,0,No Assessments
AIA,0,No Assessments
ATG,0,No Assessments
BES,0,No Assessments
BHS,14.68082135,10-30%
BLZ,86.48137124,Over 60%
BMU,0,No Assessments
BRB,0,No Assessments
CAN,32.1279782,30-60%
CIV,23.75688516,10-30%
CPV,81.581899,Over 60%
CRI,72.38227753,Over 60%
CUB,0,No Assessments
CUW,0,No Assessments
CYM,0,No Assessments
DMA,33.90985509,30-60%
DOM,14.05953753,10-30%
ESH,0,No Assessments
FRO,0,No Assessments
GGY,0,No Assessments
GIB,0,No Assessments
GIN,17.31589889,10-30%
GLP,0,No Assessments
GMB,99.44873613,Over 60%
GNB,26.36212276,10-30%
GRD,16.49881757,10-30%
GRL,0.622187176,Under 10%
GTM,54.02249075,30-60%
GUF,44.98629988,30-60%
GUY,79.74770122,Over 60%
HND,50.69418223,30-60%
HTI,40.14681658,30-60%
IRL,0.99593075,Under 10%
ISL,3.231242504,Under 10%
JAM,89.49591961,Over 60%
JEY,0,No Assessments
KNA,0,No Assessments
LBR,63.82684141,Over 60%
LCA,12.88285013,10-30%
MAR,0.479300049,Under 10%
MEX,7.746909632,Under 10%
MRT,99.26515565,Over 60%
MSR,0,No Assessments
MTQ,0,No Assessments
NIC,11.46769963,10-30%
PAN,91.74702724,Over 60%
PRI,0,No Assessments
PRT,3.856059846,Under 10%
SEN,24.94110697,10-30%
SLE,35.90440416,30-60%
SLV,11.77488044,10-30%
SPM,0,No Assessments
SUR,97.74930967,Over 60%
SXM,0,No Assessments
TCA,0,No Assessments
TTO,0,No Assessments
VCT,57.79020086,30-60%
VEN,30.02967108,30-60%
VGB,0,No Assessments
VIR,16.77353533,10-30%
COL/HND/NIC/USA,0,No Assessments
COL/JAM/NIC,0,No Assessments
CPT,0,No Assessments
MAF,0,No Assessments
BLM,0,No Assessments
AFG,88.83304103,Over 60%
ALB,1.629441653,Under 10%
AND,20.6992856,10-30%
ARE,74.27233473,Over 60%
ARM,50.22077333,30-60%
AUT,2.45329773,Under 10%
AZE,36.98138309,30-60%
BEL,46.01506067,30-60%
BEN,32.9686445,30-60%
BGD,15.19708281,10-30%
BGR,11.41889396,10-30%
BHR,0,No Assessments
BIH,96.86907967,Over 60%
BLR,20.81861723,10-30%
BRN,0,No Assessments
BTN,80.89584746,Over 60%
CAF,34.24004812,30-60%
CHE,64.02485122,Over 60%
CHN,13.472318,10-30%
CMR,68.01578177,Over 60%
CYP,63.99634428,Over 60%
CZE,43.43822732,30-60%
DEU,6.400652928,Under 10%
DJI,0,No Assessments
EGY,61.76693688,Over 60%
ERI,0,No Assessments
EST,27.67367106,10-30%
ETH,16.5287762,10-30%
FIN,51.95097682,30-60%
FSM,0,No Assessments
GEO,84.77834721,Over 60%
GRC,3.275703546,Under 10%
HRV,19.23163451,10-30%
HUN,3.617554295,Under 10%
IND,55.3354313,30-60%
IRN,10.18088061,10-30%
IRQ,20.42782236,10-30%
ISR,0,No Assessments
ITA,4.12890111,Under 10%
JOR,68.23842743,Over 60%
JPN,0,No Assessments
KAZ,21.0783706,10-30%
KGZ,9.735182402,Under 10%
KHM,81.27444812,Over 60%
KOR,53.78451971,30-60%
KWT,10.10547025,10-30%
LAO,0,No Assessments
LBN,52.06461051,30-60%
LBY,0,No Assessments
LIE,98.86886158,Over 60%
LKA,3.122965255,Under 10%
LTU,8.424114121,Under 10%
LUX,35.12481639,30-60%
LVA,4.756241897,Under 10%
